City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
WATERLOO,"188 KING STREET S UNIT# 402, WATERLOO, ON N2J0C6",N/A,N/A,"$449,900",2,N/A,2,N/A,N/A,N/A
WATERLOO,"157 SHADOW WOOD COURT, WATERLOO, ON N2K3W4",-80.48694,43.4855734,"$629,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"705 - 25 WELLINGTON STREET S, KITCHENER, ON N2G0G5",-80.5033568,43.4538693,"$499,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"27 QUEENSTON DRIVE, KITCHENER, ON N2B2T8",-80.4416695,43.459006,"$495,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"514 - 145 COLUMBIA STREET W, WATERLOO, ON N2L0K7",N/A,N/A,"$460,000",2,N/A,1,N/A,N/A,N/A
WOOLWICH,"311 STARLIGHT AVENUE, WOOLWICH, ON N0B1M0",-80.4151108,43.4715471,"$799,000",3,N/A,3,N/A,N/A,N/A
WATERLOO,"1607 - 128 KING STREET N, WATERLOO, ON N2J0E9",N/A,N/A,"$399,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"55 SUFFOLK AVENUE, KITCHENER, ON N2B1H3",-80.4600219,43.4550535,"$799,900",4,N/A,3,N/A,N/A,N/A
WATERLOO,"492 WISMER STREET, WATERLOO, ON N2K0E8",-80.4889362,43.4972494,"$699,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"549 WEBER STREET E, KITCHENER, ON N2H1E9",-80.4668075,43.4435086,"$500,000",4,N/A,1,N/A,N/A,N/A
KITCHENER,"279 ZELLER DRIVE, KITCHENER, ON N2A0B2",-80.4164551,43.4533733,"$1,099,900",3,N/A,4,N/A,N/A,N/A
KITCHENER,"100 GARMENT STREET UNIT# 216, KITCHENER, ON N2G0C3",N/A,N/A,"$399,000",1,N/A,1,N/A,N/A,N/A
WATERLOO,"24 COLUMBIA STREET W, WATERLOO, ON N2L3K3",-80.5284391,43.4813699,"$1,875,000",15,N/A,6,N/A,N/A,N/A
KITCHENER,"217 JEFFREY PLACE, KITCHENER, ON N2C2T7",-80.460182,43.4152536,"$1,499,900",4,N/A,3,N/A,N/A,N/A
KITCHENER,"220 JEFFREY PLACE, KITCHENER, ON N2C2T7",-80.460182,43.4152536,"$1,499,000",4,N/A,3,N/A,N/A,N/A
WATERLOO,"38 HIGH STREET, WATERLOO, ON N2L3X8",N/A,N/A,"$779,900",6,N/A,2,N/A,N/A,N/A
WATERLOO,"38 HIGH STREET, WATERLOO, ON N2L3X8",N/A,N/A,"$779,900",6,N/A,2,N/A,N/A,N/A
KITCHENER,"408 GRAVEL RIDGE TRAIL, KITCHENER, ON N2E0B2",-80.5228757,43.4002035,"$1,150,000",5,N/A,3,N/A,N/A,N/A
KITCHENER,"39 SECORD AVENUE, KITCHENER, ON N2B2C3",-80.4456216,43.4515334,"$1,299,900",9,N/A,4,N/A,N/A,N/A
KITCHENER,"25 WELLINGTON STREET S UNIT# 309, KITCHENER, ON N2G0G5",N/A,N/A,"$624,999",2,N/A,1,N/A,N/A,N/A
KITCHENER,"25 WELLINGTON STREET A S UNIT# 209, KITCHENER, ON N2G0G5",N/A,N/A,"$624,999",2,N/A,1,N/A,N/A,N/A
KITCHENER,"25 WELLINGTON STREET S UNIT# 207, KITCHENER, ON N2G0G5",N/A,N/A,"$624,999",2,N/A,1,N/A,N/A,N/A
KITCHENER,"1 VICTORIA STREET S UNIT# 1113, KITCHENER, ON N2G0B5",N/A,N/A,"$429,900",2,N/A,1,N/A,N/A,N/A
KITCHENER,"228 MARGARET AVENUE, KITCHENER, ON N2H4J5",-80.493342,43.4626536,"$3,340,000",N/A,N/A,0,N/A,N/A,N/A
KITCHENER,"44 WEBER STREET W, KITCHENER, ON N2H3Z2",-80.4894966,43.453036,"$2,895,000",N/A,N/A,0,N/A,N/A,N/A
KITCHENER,"53 SANDRA AVENUE, KITCHENER, ON N2M1Z9",-80.5091128,43.4420749,"$649,900",3,N/A,1,N/A,N/A,N/A
