City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
KITCHENER,"357 WOODBINE AVENUE, KITCHENER, ON N2R0A9",-80.4807215,43.3920743,"$1,250,000",5,N/A,4,N/A,N/A,N/A
KITCHENER,"33A - 1430 HIGHLAND ROAD, KITCHENER, ON N2N0C3",N/A,N/A,"$399,900",2,N/A,2,N/A,N/A,N/A
KITCHENER,"277 LANCASTER STREET W UNIT# 2, KITCHENER, ON N2H4V2",N/A,N/A,"$245,000",N/A,N/A,0,N/A,N/A,N/A
KITCHENER,"187 HUCK CRESCENT W, KITCHENER, ON N2N3P7",-80.5537969,43.4316871,"$797,500",4,N/A,4,N/A,N/A,N/A
KITCHENER,"267 GREY FOX DRIVE, KITCHENER, ON N2E3N8",-80.5149453,43.4122241,"$734,900",3,N/A,3,N/A,N/A,N/A
WATERLOO,"2122 - 258B SUNVIEW STREET, WATERLOO, ON N2L0H7",N/A,N/A,"$399,888",2,N/A,1,N/A,N/A,N/A
KITCHENER,"148 SNOWDROP CRESCENT, KITCHENER, ON N2E4G7",-80.518277,43.400556,"$749,900",4,N/A,3,N/A,N/A,N/A
KITCHENER,"60 ELMSDALE DRIVE UNIT# 66, KITCHENER, ON N2E2G4",N/A,N/A,"$429,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"15 WELLINGTON STREET S UNIT# 1209, KITCHENER, ON N2G0E4",N/A,N/A,"$549,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"38 HEATHERWOOD PLACE, KITCHENER, ON N2N3P4",-80.5421979,43.430786,"$699,900",3,N/A,3,N/A,N/A,N/A
WATERLOO,"38 ACADEMY CRESCENT, WATERLOO, ON N2L5H7",-80.5563013,43.4678838,"$1,650,000",4,N/A,4,N/A,N/A,N/A
KITCHENER,"918 STEPHANIE COURT, KITCHENER, ON N2E0J9",-80.5418005,43.4061947,"$1,249,900",4,N/A,4,N/A,N/A,N/A
KITCHENER,"15 S WELLINGTON STREET S UNIT# 317, KITCHENER, ON N2G0E4",N/A,N/A,"$519,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"73 NATHALIE STREET, KITCHENER, ON N2E0H8",-80.5378856,43.4043688,"$1,319,900",4,N/A,4,N/A,N/A,N/A
WATERLOO,"320 WHITMORE DRIVE, WATERLOO, ON N2K1X4",-80.5076287,43.4982721,"$2,875,000",5,N/A,4,N/A,N/A,N/A
KITCHENER,"35 LOWER CANADA CRESCENT, KITCHENER, ON N2P1E9",-80.4421644,43.3969372,"$734,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"1400 WEBER STREET E UNIT# A5, KITCHENER, ON N2A3Z8",N/A,N/A,"$149,000",N/A,N/A,0,N/A,N/A,N/A
WATERLOO,"308 - 251 HEMLOCK ST, WATERLOO, ON N2L0H2",N/A,N/A,"$475,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"335 FALLING GREEN CRESCENT, KITCHENER, ON N2R0G4",-80.4949858,43.3874187,"$998,000",4,N/A,4,N/A,N/A,N/A
WILMOT,"113 HASTINGS COURT, WILMOT, ON N3A2T4",-80.661092,43.399,"$685,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"276 CARRINGTON PLACE, WATERLOO, ON N2T2K1",-80.576095,43.460663,"$2,669,000",4,N/A,5,N/A,N/A,N/A
WATERLOO,"16 MCDOUGALL ROAD, WATERLOO, ON N2L2W5",-80.5436757,43.460135,"$550,000",N/A,N/A,0,N/A,N/A,N/A
KITCHENER,"55 DUKE STREET W UNIT# 505, KITCHENER, ON N2H0C9",N/A,N/A,"$399,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"107 EARL STREET, KITCHENER, ON N2M2V8",-80.5206322,43.4542472,"$1,799,900",3,N/A,3,N/A,N/A,N/A
KITCHENER,"97 BELMONT AVENUE E, KITCHENER, ON N2M4B8",-80.5011799,43.4344741,"$550,000",4,N/A,2,N/A,N/A,N/A
KITCHENER,"46 WOODBINE AVENUE, KITCHENER, ON N2R1V1",-80.4836819,43.3848732,"$1,000,000",5,N/A,4,N/A,N/A,N/A
KITCHENER,"108 GARMENT STREET UNIT# 1007, KITCHENER, ON N2G0E2",N/A,N/A,"$349,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"229 LANCASTER STREET E, KITCHENER, ON N2H1N5",-80.4817566,43.4498192,"$550,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"282 - 258B SUNVIEW STREET, WATERLOO, ON N2L0H7",N/A,N/A,"$409,900",2,N/A,1,N/A,N/A,N/A
KITCHENER,"2905 - 15 WELLINGTON STREET S, KITCHENER, ON N2G0E4",N/A,N/A,"$369,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"1002 - 55 GREEN VALLEY DRIVE, KITCHENER, ON N2P1Z6",-80.4323692,43.3983951,"$330,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"190 BROKEN OAK CRESCENT, KITCHENER, ON N2N1N7",-80.5418155,43.4197699,"$649,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"6 WALTON AVENUE UNIT# 206, KITCHENER, ON N2C2B5",N/A,N/A,"$324,900",3,N/A,2,N/A,N/A,N/A
CONESTOGO,"111 GRANDVIEW DRIVE, CONESTOGO, ON N0B1N0",N/A,N/A,"$1,725,000",4,N/A,4,N/A,N/A,N/A
CAMBRIDGE,"439 LINDEN DRIVE, CAMBRIDGE, ON N3H4R6",-80.3780124,43.398152,"$799,999",4,N/A,3,N/A,N/A,N/A
KITCHENER,"52 EDGEHILL DRIVE, KITCHENER, ON N2P2C6",-80.387689,43.403578,"$2,099,900",5,N/A,5,N/A,N/A,N/A
WATERLOO,"271 GREY SILO ROAD UNIT# 16, WATERLOO, ON N2K0B9",N/A,N/A,"$895,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"200 BENNINGER DRIVE, KITCHENER, ON N2E0E9",-80.536844,43.4073803,"$1,116,000",5,N/A,5,N/A,N/A,N/A
KITCHENER,"196 BENNINGER DRIVE, KITCHENER, ON N2E0E9",-80.536844,43.4073803,"$1,140,900",5,N/A,5,N/A,N/A,N/A
WATERLOO,"274 BUTTONBUSH STREET, WATERLOO, ON N2V0B4",-80.5902149,43.4510486,"$1,149,900",5,N/A,4,N/A,N/A,N/A
